num,title,date,answer_x,content,answer_y,depart
97674,주차장이 너무 어두워요,2020.11.30,답변완료,"중구 전동 25-328 번지옆  전동쉼터 옆  공영주차장이 야간에 너무 어두워요
야간에는 너무 어두워 불편합니다
시정바랍니다",1. 구정 발전에 관심을 가져주시는 귀하께 감사의 말씀을 드립니다.2. 민원 제기하신 전동 일원의 공영주차장에 대하여 현장을 확인하였으며 조명시설 설치와 기타 환경 정비를 통하여 이용에 불편함이 없도록 조치할 예정이오니 이점 널리 이해하여 주시기 바랍니다.3. 기타 문의사항이 있으시면 중구 교통운수과(☎760-7577)로 연락주시면 성심껏 답변 드리겠습니다.  끝.,도시재생국 교통운수과
97671,뭐에요? 거잠포선착장 쓰레기 그대로잖아요? 하나도 안 되어있네요?,2020.11.29,답변완료,"아니 거기 오는 사람들을 위해서 버스정류장을 만들고 해안 데크길을 설치 했으면 그런 거에 따른 관리도 해줘야지 
관리를 안 해도 너무 안 하시는 거 아닙니까? 어제도 잠깐 반나절정도 시간내서 무의도 트레킹하러 갔다왔는 데 진짜 깜짝놀랐습니다
해마다 가면 갈수록 더 지저분해지는 거 같아요. 광명항쪽에 소무의도 건너가는 다리 옆에 해변가들 쓰레기 쌓여있는 거 멀리서도 보이구요. 소무의도 쪽에도 해상데크길을 따라 걷다보면 여기저기 울타리 조금 넘어서 나뭇가지에 숲에 잔디밭에 모래사장안에 그대로 방치 되어있었어요. 그 소무의도 중에 명사의 해변은 그냥 쓰레기가 밟힐 정도의 수준이구요. 몽여 해변도 상점가들 앞에나 깨끗하지 구석으로 가보니까 쓰레기들 완전 쌓여있었고 큰무리 어촌계회관 있는 대무의로 쪽에 모래사장 뿐만 아니라 바다도 보면 그냥 이상한 쓰레기 흔적들이 떠다녀요. 그외 하나개 해변을 넘어 유원지쪽 주차장도 지저분한 곳 많고 전반적으로 무의도 잠진도 영종도 셋 다 너무 정리가 안 된 느낌이에요. 다리를 놨고 사람들이 더 많이 왔다갔다 하는 걸 예상했다면 인프라 확충하는 것 뿐만 아니라 관리하는 것도 당연한 책임아닌가요? 물론 제일 잘못한 것은 아무데나 쓰레기를 방치하거나 갖다버린 인간갖지도 않은 인간들이 제일 잘못한 것이겠지만 지자체에서도 너무 허술하게 방치하는 것같다는 느낌을 지울 수가 없네요 그리고 이렇게 해변가들 중심으로 쓰레기가 가장 많이 쌓인 근본적인 이유는 바다에서 떠밀려 오는 것도 있겠지만 방파제나 해변가 따라서 있는 낚시꾼들이나 캠핑,차박족이 제일 문제라고 봅니다. 제발 그들때문에 환경오염이 일어나지 않을 수 있도록 단속 좀 해주시고 진짜 무의도 영종도 갈 때마다 그만 불쾌한 경험 좀 할 수 있게 해주세요. 정말 시원한 바닷가 보면서 힐링하러 왔다가 왜렇게 스트레스랑 짜증만 가득 받고 가야되는 잘 모르겠어요. 광명항 쪽에 주차관리요원 2명이나 배치한 것 보면 환경미화도 충분히 할 수 있을 것 같은데요? 관광객들이 많이 다니는 서울 종로쪽이나 남산 등도 잘 이루어지고 있는 데 얼른 중구청도 해주시죠!!! 혹시 어디 있는 지 모르겠다면 제가 하나하나 다 사진찍어서 첨부파일증거로 보내드릴 수 있습니다.","1. 안녕하십니까? 귀하께서 상담민원을 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하께서 제출하신 민원의 내용은 “용유ㆍ무의지역 해안가쓰레기 수거처리 요청”에 관한 것으로 이해됩니다.3. 귀하의 민원에 대한 검토결과는 다음과 같습니다. 가. 우리 구는 용유ㆍ무의 해안가 지역의 쓰레기 처리용역사업인 「하천하구 쓰레기 정화사업」을 2020. 12. 7. 종료하였으며, 향후 발생하는 쓰레기를 처리하기 전 사업 공백 기간을 최소화 할 수 있도록 차년도 쓰레기 처리 용역을 신속히 발주하도록 하겠습니다. 나. 또한, 공백 기간 동안 발생하는 쓰레기 문제를 어촌계 협조를 통해 처리하고 관광객과 주민들이 불편하지 않도록 개선해 나가도록 노력하겠습니다. 4. 답변 내용에 대한 추가 설명이 필요한 경우, 인천광역시 중구청 농수산과  ☎(032-760-8838)로   연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 붙임  민원내용 1부.  끝.
※ 첨부파일 : 
민원답변서.hwp",국제도시건설국 농수산과
97189,9100번 광역버스 배차간격 준수 요청 건,2020.11.23,답변완료,"집안 사정으로 서구에서 남동구를 들려서 9100번 버스를 통해 인천에서 서울로 출퇴근을 하고 있는 인천 시민입니다. 지하철은 여러번을 갈아타야하기 때문에 버스를 매일 이용하고 있습니다만 9100번 버스의 배차간격때문에 고통을 받고 있습니다. 네이버 앱등 대중교통 앱상에서는 11대에서 12대가 운행 중인 것으로 나오는데 배차간격이 천차만별입니다. 한번에 3대가 연달아 올때도 있고 반대로 50분을 기다린적도 많습니다. 제가 운행 버스가 6대로 더 적은 9802번 버스를 5년간 이용했음에도 이정도로 배차간격이 엉망인 버스를 본적이 없습니다. 운행 버스가 2배가 많은데도 의미가 없는게 버스들이 가끔도 아니고 퇴근해서 볼때마다 한두정거장 차이로 세대가 모여있습니다. 차가 막혀서 그렇다면 버스회사에서 운행계획을 출퇴근시간 러쉬아워에 맞춰 짜면 될텐데 몇년째 바뀌지 않고 있습니다. 버스정거장에 나와있는 배차간격은 15분에서 20분입니다. 저도 운전을 하는지라 10분에서 15분정도 늦는건 이해합니다. 하지만 30분 이상 매일같이 더 늦게오는건 이해가 가지 않습니다. 이에 대해 배차간격을 최대한 준수할수 있도록 요청부탁드립니다.
※ 첨부파일 : 
Screenshot_20201123-225716_NAVER.jpg",불편사항이 해결됨,도시재생국 교통운수과
97180,46번버스 신흥교통 정상이아닌 버스업체,2020.11.23,답변완료,"46번버스 신흥교통 손님에게 막말하고 잘못하고도 사과전혀없고 그냥 배째라는식으로 직원들과 대표이사의 안일한태도에 어이없고 황당한 이런곳이 정상인가요?
잘못했으면 사과하고 조심하겠다 한마다인데 구청에서 강력한제재도없고 그냥 조심해주세요 업체통보만하니 버스회사에서도 그냥저냥 유야무야 신경안쓰는것같습니다.
분명히 잘못한점있다면 강력하게해야하는데요...","1. 교통 업무에 많은 관심과 애정을 가져주셔서 깊이 감사드립니다. 2. 귀하께서 말씀해주신 교통 불편민원 사항(운수회사 불친절)으로 인해 불편을 드린 것에 대해 양해 부탁드리며, 제기하신 민원에 대한 내용을 해당 운송업체에 전달하여 친절교육을 실시하도록 지도하였습니다.3. 미추홀콜센터(11.13.)와 상담민원(11.12.)으로 접수된 귀하의 민원 건에 대하여 각각 11월 23일, 11월 27일에 행정지도하였음을 알려드리며, 기타 여객자동차 운수사업법을 위반하는 행위나 교통 불편 민원에 대해서도 적극적인 지도를 통해 대중교통을 이용하시는 시민들에게 불편이 없도록 노력하겠습니다. 4. 위와 관련하여 추가적인 문의사항이 있으시면 중구청 교통운수과(032-760-7579)로 문의해 주시기 바랍니다. 감사합니다.  끝.",도시재생국 교통운수과
96822,살려주세요 제발 요즘 가게 망하게 만드는 일들만 일어나네요..제발요(영종도 호텔),2020.11.19,답변완료,"요즘 전부 어렵죠?
영종도는 공항 상대로 영업을 하는 가게들이 많아서 특히나 더 어렵습니다.
저희 호텔을 예로 들자면:
외국인은 자국에서 모르고 장기 예약을 하거나 알고서 14일 호텔로 예약을하고 국내들어와도 
호텔로 오질 몿해요. 14일 자가격리 때문에 공항에서 이미 시설로 보내지거나 하기에
이사람들은 다시 예약 취소를 해주거나 환불을 해주는 경우가 다반사 입니다.
국내 사람들은 나름 방역 준수를 하다보니 영종도 저희 호텔로 오는경우는 극히 드물어요.
결과 올해 영업 매출은 60-70%이상 급감한 상태입니다.
장사가 작년에 않되었던 호텔이 아니지라 올해 코로나로 인하여 급감한 매출 체감은 
더욱 크게 느껴 지내요.
코로나 터지고 정부에서 하나하나 정책들이 나올때마다 매출은 계속 급감하고 손님은 더욱 없어요.
코로나 때문에 물론 정부정책 합당하고 그렇게 실행 되어야 한다는건 알기에 항상 거기에 맟추어
저 또한 성실하고 따르고 있는 입장입니다.
웃기는 이야기 이지만 코로나 초반에 다른나라 한나라 한나라 입국이 금지 될때마다 손님들 급감하는걸 
너무 실감했었 습니다.특히 일본 손님들 막힐때는 타격이 너무 컸어요.
공항근처라 정말로 어쩔수 없게 전부 고수란히 체감할수 밖에 없었어요.
서두가 좀 길었는데요.또한 일일이 나열할수도 없을 정도로 여러 정책들로 많은 영업손실 체감을
해왔지만 이번 건은 너무 아따 까워서 몇자 적습니다.

시내에 영업적 목적의로 거리에 세워진 풍선들 진짜 많아요.
또한 제가 영업하고 있는 영종도만해도 운서동,을왕리,무의도 등 셀수없을 정도로 풍선들 많아요.
전부 적법한 건 아니겠지만 그래도 오죽 힘들고 영업이 않되면 40-50만원사비들여 손님 한팀이라도 
더받을 목적의로 풍선을세워두겠어요.
불법이라면 정부 정책에 따라야 겠지만, 코로나까지 겹쳐 가뜩이나 손님없는데 괸히 속상하네요.
불법 광고물이라 하여 철거해야한다면 그렇게 따라야죠?
하지만 시국이 시국인지지라 정부 정책 만드는 분들이야 사소한거겠지만 풍선하나때문에 
하루 영업이 되고 않되는 가게들도 있다는거 알아 주셨의면 합니다.
다 어려울때이닌까 폭풍 지나간 다음에 철거 하라면 두손 두발 다들고 박수치면 환영할게요.
아무리 생각해도 지금은 아니잖아요.
저희 가게는 구부러진길에 도로에서 200m 떨어진 곳에 가게가 있다보니 그나마 풍선하나
세워진거 보고 그나마 없는 손님 가끔 몇팀씩들 들어오는데
그런데 불법 광고물이라하여 당장 풍선 철거하라하면 장사하지 말란 소리밖에 않되요.
부디 좀 살려 주세요.
법대로 풍선철거하고 장사 더욱 않되어서 한두달 않에 가게 문닫음 몿살거 같네요.
좀 적당히 행동하고 살아야될 코로나 시기가 아닌가 쉽네요.
풍선좀 제발 치우라고 하지말아주세여.
풍선 않치우면 500만원 벌금 나온다는 말도요.
막 살떨리네요.
요즘 너무 어려워서 모든게 다 밀려있어요.
그나마 쪼끔 오는 손님들  막지 말아주세여.
제발 좀 살려주세요.
제가 후회하지않게 해주시면 감사하겠 습니다.","1. 구정 발전을 위해 관심을 가져주시는 귀하께 깊은 감사를 드립니다.2. 모두가 힘든 요즘의 상황이기에 영업을 이어감에도 여러 고충이 있음을 깊이 통감합니다. 긴 말씀을 주시는 귀하의 심정을 이해하고, 소중하게 경청하겠으나, 지자체에서 행정을 집행함에 있어 어느 한쪽 면만을 고려하여 적용할 수는 없으며, 또한 그것이 법을 초월한 내용은 가능하지 않음을 양지하여 주시기 바랍니다.3. 모쪼록 작금의 상황이 조속하게 나아지길 바라며, 귀하의 가정의 안녕과 사업 간의 번창을 진심으로 기원합니다. 기타 궁금한 사항은 중구청 도시공원과로 연락주시기 바랍니다.  끝.",국제도시건설국 도시공원과
96627,CAM'S GONE(DISAPEAR),2020.11.17,답변완료,"안녕하세요. 제목이 한글로 안쳐지네요. 뭐줘?
저희 집은 중구 내동 2-15번지이구
내동 빌라 앞 자유공원 올라가는 조그만 골목길 나무계단에 있던 회전식CCTV가 어느날 없어졌습니다.
철거해 가신 건지요  동네 할머니들 아주머니들이 날리가 났어요 아무도 모르는데 갑자기 없어져서요
아무 설명도 없이져서 예전부터 학생 얘들도 담배도 많이 피우고 저녁이면 어두워서 위험하여 사고가 날 수 있는 곳인데 
왜 철거를 하신건지 확인 부탁드려요
오래전 CCTV 없을 때 술 드신 어르신이 그 계단을 내오시다가 넘어지셔서 머리에 피가 나고 움직이 못하는데 제가 발견하여 
119에 신고한 적이 있습니다
사고 다발지역이라고 하죠 이곳이 그런 곳입니다 학교 근처라 폭력에 노출 될 수도 있구요
철거하셨다면 다시 한번 생각하셔서 설치 부탁드립니다
어제부터 동네 아주머니들이 날리입니다
그리고 제목에 영자만 기록되네요 그리고 본문에 기호를 쓰면 전에 쓴 글자가 지워져요
확인해 보세요","< 답 변 내 용 >○ 귀하께서 문의주신 내동 2-15에 위치한 336번 방범용 CCTV에 관하여 말씀드리겠습니다.○ 해당 CCTV 카메라는 현재 기기장애 문제로 인하여 제조사에 수리를 의뢰한 사항이며, 금주 내로 수리를 완료하여 관제를 재개할 예정임을 알려드립니다.○ 기타 문의 사항에 대해선 중구청 홍보체육실 전명지(032-760-7102)로 문의주시기 바랍니다.  끝.",홍보체육실
96287,신흥교통 46번버스회사 고발합니다,2020.11.12,답변완료,"46번버스이용중 불편사항 해당교통회사 전화문의했더니 고객한테 시비걸려고 전화했냐하면서 불친절한언행태도에 황당하고 어이없는 회사가있는지 직접찾아가 설명함에도불구하고 자기네잘못없다며 민원제기하던지말던지 언행및태도에 너무불편했습니다.
※ 첨부파일 : 
통화 녹음 0328883516_201112_105928.m4a","1. 교통 업무에 많은 관심과 애정을 가져주셔서 깊이 감사드립니다. 2. 귀하께서 말씀해주신 교통 불편민원 사항(운수회사 불친절)으로 인해 불편을 드린 것에 대해 양해 부탁드리며, 제기하신 민원에 대한 내용을 해당 운송업체에 전달하여 친절교육을 실시하도록 지도하였습니다.3. 기타 여객자동차 운수사업법을 위반하는 행위나 교통 불편 민원에 대해서도 적극적인 지도를 통해 대중교통을 이용하시는 시민들에게 불편이 없도록 노력하겠습니다. 4. 위와 관련하여 추가적인 문의사항이 있으시면 중구청 교통운수과(032-760-7579)로 문의해 주시기 바랍니다. 감사합니다.  끝.",도시재생국 교통운수과
96210,남측해안도로 자전거길 조성시 보완 요청 사항,2020.11.11,답변완료,"우선 남측해안도로에 자전거도로를 개설해 주고 계셔서 대단히 감사합니다.
자전거도로 개설시 한가지 건의사항이 있어 제안드립니다.
다름아니라 현재 공항내에는 공항신도시에서부터 제1여객터미널까지 자전거도로가 훌륭하게 있고 이용객도 많습니다.
이 자전거도로가 그 동안 해안도로쪽으로 연결이 부실하게나마 되어 있었으나 해안도로에 자전거도로가 없어서 위험한 상태로 그 동안 이용해 왔습니다.
이번 자전거도로 조성시 기존 공항내 자전거도로와 금번 신설되는 해안도로 자전거도로가 연결될 수 있는 첨부파일 표시된 지점에 횡단보도를 설치하여 주시면
많은 사람들이 안전하게 자전거도로를 이용할 수 있습니다.
자전거도로 공사중 상기와 같은 사항을을 반영하여 주시면 감사하겠습니다.
신호등까지는 필요없고 횡단보도와 해안도로 자전거도로에 설치할 난간만 뚫어 주시면 더욱더 훌륭한 자전거도로가 될 것입니다.
※ 첨부파일 : 
1605077081188-1.jpg","1. 우리 구정발전을 위한 관심에 감사드리며, 귀하의 무궁한 발전을 기원합니다.2. 우리 구에서는 영종국제도시 자전거 이용활성화를 위하여 영종해안남로의 자전거 전용도로 조성사업을 추진 중에 있으며, 인천국제공항 및 공항 내 자전거 도로와의 연결을 위하여 도로교통공단 등 전문기관과 교통여건 및 안전 등을 종합적으로 검토한 결과 영종해안남로와 영종해안남로 321번길이 접속되는 교차로(공항연결 삼거리) 구간에 횡단보도를 설치할 예정임을 알려드리니 양지하여 주시기 바라며,3. 자전거 전용도로 조성과 관련하여 기타 궁금하신 사항은 기반시설과(032-760- 8952)로 문의하여 주시면 성심성의껏 답변 드리겠습니다. 감사합니다.붙임  1. 민원상담목록 1부.      2. 자전거도로 횡단도 요청 위치도 1부.  끝.",국제도시건설국 기반시설과
96066,중구청 로드킬 신고하고 처리반분께 왜 스트레트풀이를 당해야하나요?,2020.11.09,답변완료,"2020년11월9일 21시19분경 인천공항제2여객터미널에서 운서로 오던중 로드킬 당한 동물 사체를 때문에 피하다 사고날뻔하여 다른차도 혹시나 사고날까하고 중구청에 연락을 들렸습니다. 인천공항2티미널 단기주차장에서 오른쪽 차선으로 나오시면 80키로 단속카메라 전에 있다고 설명을 몇번이나 설명을 드렸으며 운서로 가는길이다 꾸준히 말씀을 드렀습니다. 민원과에서 처리반에게 연락처를 알려줘도 되겠냐고 말씀드려 알겠다 하고 연락을 기다렸습니다. 
그런데 처리하시는 분들께서 처음 전화를 받았을때부터 여보세요 거기가 어디냐 뭐 정확하지도 않은것을 신고하고 그러냐고 소리를 크게 치시며 말씀하셨고  우리가 그걸 하러 여기서 몇십키로 떨어진곳까지 가야하냐거 거기 고속도로타면 공항을 찍고 와야한다며 제대로 설명안하냐고 뭐라 하셨습니다. 끝까지 차분하게 이해하실수 있을 만큼 설명을 드렸으나 왜 늦은시간에 신고를 하냐면서 지속적으로 뭐라하시고 일방적으로 전화를 끊으셨습니다. 
로드킬 당한 동물로 인해 다른분들도 저처럼 피해를 안입었으면 좋겠는 마음에서 신고하고 정말 기분이 나쁘더군요 그분들이 귀찮으니까 신고도 하지말고 가만히 입다물고 있으라는 건가요?  중구청 로드킬 처리반의 개선이 매우 시급해 보입니다. 
앞으로 저같은 피해자가 다신 나타나지 않았으면 좋겠습니다",1. 구정에 관심을 기울여주시는 귀하께 감사드립니다.2. 동물사체 민원 처리 과정에서 귀하께 불편을 드려 사과의 말씀을 드립니다.  3. 동물사체 대행업체에 대하여 교육을 실시하여 민원처리 과정에서 귀하와 같은 불편이     없도록 조치하겠습니다.4. 귀하의 가정에 항상 평안과 행복이 가득하시길 기워드리며 기타 궁금하신 사항에      대하여는 중구청 환경보호과(☎760-7415)로 연락주시면 성심성의껏 답변해 드리겠습니다.     감사합니다.   붙임  2020년11월11일-a0-민원상담목록번호96066 1부.  끝.,도시재생국 환경보호과
95860,운서동 H2 상가주택 지역 음식점 냄새 관련,2020.11.06,답변완료,"상가 지역이 아니고 주택 단지이기 때문에 음식점들이 냄새에 특히 유의하여 할 것으로 사료되는데,
특정 식당들의 무분별한 구이 냄새 방출로 인해 주변 주택가 주민들이 거의 살기가 힘들 정도임.

지난 여름 내내 특정 식당에서 새벽까지 구워되는 음식 냄새로 인해 아무리 더워도 창문을 열 수 없을 정도였음.

상가주택 내 음식점들은 건물 높이 이상(이 지역은 3층이 규정이므로 3층 옥상 높이에)으로 냄새와 연기 배출 환기구를 설치해야 하는 것으로 알고 있는데,
특정 식당들은 환기구의 구멍을 1층에다가 아마도 불법으로 설치하고 연기와 냄새를 빼내고 있는 듯 함.

1층에 환기구를 불법적으로 만들어 놓고 냄새를 빼고 있어서, 또는 창문을 열고 냄새를 뺴고 있어서 
음식점 주변 주택들에 냄새가 시도 때도 들어와서 여름에는 더워도 문조차 열 수 없으며,
현재도 환기조차 마음대로 할 수 없음...

특정 식당들에서 3층 옥상까지 높이로 뺀 환기구는 단속을 피할 목적으로만 설치해놓고 1층으로 빠지는 환기를 함께 설치하여서
1층으로 냄새를 빼거나 창문으로 냄새를 주로 빼면서 동네에 음식점의 냄새 특히 각종 구이 냄새가 가득차고 있는 것으로 판단됨.

h2 지역의 식당 배기구의 적법적 설치와 운용을 조사 단속해주기 바람.

또한 이 지역에서 하루종일 새벽까지 음식을 구워되는 구이 전문점이 입점 가능한지도 질문 드림.
이런 구이 전문점의 경우에 지대한 냄새와 연기를 동네에 내뿜어서 주민들의 기본적 삶을 파괴하고 있는데,
이런 업체들이 입점가능하다면, 연기와 냄새에 대해서 특별한 관리를 해주어야지
이 지역에서 사는 주민들의 정상적인 주거생활이 가능할 것으로 사료됨.

요구사항

1. h2 지역 식당들의 음식 냄새 배출구 설치와 음식 냄새 배출 운영 상태 점검과 점검 단속 결과에 대한 답변. (일부 업체가 아마도 불법일 1층으로 빠지는 배출구를 설치하고 사용중이거나 1층 상가의 창문을 통하여 주로 연기를 배출하고 있는 것으로 보임)
2. h2 지역에서 냄새를 지대하게 많이 발생시키는 구이 전문점 등의 영업시간이나 이런 업종에 대해 특별히 냄새 방지와 배출에 관한 규정이 있는지 그리고 그러한 규정이 지켜지고 있는지에 대한 점검 단속이 시행되고 있는지에 대한 답변.","구정발전을 위한 관심과 협조에 감사드리며, 새올전자민원창구 민원상담에 신청하신「운서동 H2 상가주택 지역 음식점 냄새 관련」에 대하여 다음과 같이 답변 드립니다. ○ 귀하께서 민원을 제기하신 운서동 H2 상가주택 지역 음식점 냄새와 관련하여     식품위생법와 환경관련법 상 강제할 수 있는 규제사항(환기구 높이, 영업시간 등)  이 없음을 알려드리며, 음식냄새로 인한 주민불편을 최소화하기 위하여 귀하께서 거주하고 계시는 건물 주변의 영업소를 방문하여 민원내용을 설명하고 배기구 높이 조정, 방향 변경 등을 안내하였음을 알려드립니다. ○ 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변내용에 대하여 추가  문의사항이 있으시면 중구청 친환경조성과(☎760-7739)로 연락주시면 성심성의껏  답변 드리도록 하겠습니다. 감사합니다.  끝.",국제도시행정국 친환경조성과
